n,alphaTarget,wallHandAlpha,whAlphaScaled,whBlendT_bp,turnBlockT,dtRowOK
580,0.000,0.000,0.000,0.000,0.000,1
581,0.000,0.000,0.000,0.000,0.000,1
582,0.000,0.000,0.000,0.000,0.000,1
583,0.000,0.000,0.000,0.000,0.000,1
584,0.000,0.000,0.000,0.000,0.000,1
585,0.000,0.000,0.000,0.000,0.000,1
586,0.000,0.000,0.000,0.000,0.000,1
587,0.000,0.000,0.000,0.000,0.000,1
588,0.000,0.000,0.000,0.000,0.000,1
589,0.000,0.000,0.000,0.000,0.000,1
590,0.000,0.000,0.000,0.000,0.000,1
591,0.000,0.000,0.000,0.000,0.000,1
592,0.000,0.000,0.000,0.000,0.000,1
593,0.000,0.000,0.000,0.000,0.000,1
594,0.000,0.000,0.000,0.000,0.000,1
595,0.000,0.000,0.000,0.000,0.000,1
596,0.000,0.000,0.000,0.000,0.000,1
597,0.000,0.000,0.000,0.000,0.000,1
598,0.000,0.000,0.000,0.000,0.000,1
599,0.000,0.000,0.000,0.000,0.000,1
600,0.000,0.000,0.000,0.000,0.000,1
601,0.000,0.000,0.000,0.000,0.000,1
602,0.000,0.000,0.000,0.000,0.000,1
603,0.000,0.000,0.000,0.000,0.000,1
604,0.000,0.000,0.000,0.000,0.000,1
605,0.000,0.000,0.000,0.000,0.000,1
606,0.000,0.000,0.000,0.000,0.000,1
607,0.000,0.000,0.000,0.000,0.000,1
608,0.000,0.000,0.000,0.000,0.000,1
609,0.000,0.000,0.000,0.000,0.000,1
610,0.000,0.000,0.000,0.000,0.000,1
611,0.000,0.000,0.000,0.000,0.000,1
612,0.000,0.000,0.000,0.000,0.000,1
613,0.000,0.000,0.000,0.000,0.000,1
614,0.000,0.000,0.000,0.000,0.000,1
615,0.000,0.000,0.000,0.000,0.000,1
616,0.000,0.000,0.000,0.000,0.000,1
617,0.000,0.000,0.000,0.000,0.000,1
618,0.000,0.000,0.000,0.000,0.000,1
619,0.000,0.000,0.000,0.000,0.000,1
620,0.000,0.000,0.000,0.000,0.000,1
621,0.000,0.000,0.000,0.000,0.000,1
622,0.000,0.000,0.000,0.000,0.000,1
623,0.000,0.000,0.000,0.000,0.000,1
624,0.000,0.000,0.000,0.000,0.000,1
625,0.000,0.000,0.000,0.000,0.000,1
626,0.000,0.000,0.000,0.000,0.000,1
627,0.000,0.000,0.000,0.000,0.000,1
628,0.000,0.000,0.000,0.000,0.000,1
629,0.000,0.000,0.000,0.000,0.000,1
630,0.000,0.000,0.000,0.000,0.000,1
631,0.000,0.000,0.000,0.000,0.000,1
632,0.000,0.000,0.000,0.000,0.000,1
633,0.000,0.000,0.000,0.000,0.000,1
634,0.000,0.000,0.000,0.000,0.000,1
635,0.000,0.000,0.000,0.000,0.000,1
636,0.000,0.000,0.000,0.000,0.000,1
637,0.000,0.000,0.000,0.000,0.000,1
638,0.000,0.000,0.000,0.000,0.000,1
639,0.000,0.000,0.000,0.000,0.000,1
640,0.000,0.000,0.000,0.000,0.000,1
641,0.000,0.000,0.000,0.000,0.000,1
642,0.000,0.000,0.000,0.000,0.000,1
643,0.000,0.000,0.000,0.000,0.000,1
644,0.000,0.000,0.000,0.000,0.000,1
645,0.000,0.000,0.000,0.000,0.000,1
646,0.000,0.000,0.000,0.000,0.000,1
647,0.000,0.000,0.000,0.000,0.000,1
648,0.000,0.000,0.000,0.000,0.000,1
649,0.000,0.000,0.000,0.000,0.000,1
650,0.000,0.000,0.000,0.000,0.000,1
651,0.000,0.000,0.000,0.000,0.000,1
652,0.000,0.000,0.000,0.000,0.000,1
653,0.000,0.000,0.000,0.000,0.000,1
654,0.000,0.000,0.000,0.000,0.000,1
655,0.000,0.000,0.000,0.000,0.000,1
656,0.000,0.000,0.000,0.000,0.000,1
657,0.000,0.000,0.000,0.000,0.000,1
658,0.000,0.000,0.000,0.000,0.000,1
659,0.000,0.000,0.000,0.000,0.000,1
660,0.000,0.000,0.000,0.000,0.000,1
661,0.000,0.000,0.000,0.000,0.000,1
662,0.000,0.000,0.000,0.000,0.000,1
663,0.000,0.000,0.000,0.000,0.000,1
664,0.000,0.000,0.000,0.000,0.000,1
665,0.000,0.000,0.000,0.000,0.000,1
666,0.000,0.000,0.000,0.000,0.000,1
667,0.000,0.000,0.000,0.000,0.000,1
668,0.000,0.000,0.000,0.000,0.000,1
669,0.000,0.000,0.000,0.000,0.000,1
670,0.000,0.000,0.000,0.000,0.000,1
671,0.000,0.000,0.000,0.000,0.000,1
672,0.000,0.000,0.000,0.000,0.000,1
673,0.000,0.000,0.000,0.000,0.000,1
674,0.000,0.000,0.000,0.000,0.000,1
675,0.000,0.000,0.000,0.000,0.000,1
676,0.000,0.000,0.000,0.000,0.000,1
677,0.000,0.000,0.000,0.000,0.000,1
678,0.000,0.000,0.000,0.000,0.000,1
679,0.000,0.000,0.000,0.000,0.000,1
680,0.000,0.000,0.000,0.000,0.000,1
681,0.000,0.000,0.000,0.000,0.000,1
682,0.000,0.000,0.000,0.000,0.000,1
683,0.000,0.000,0.000,0.000,0.000,1
684,0.000,0.000,0.000,0.000,0.000,1
685,0.000,0.000,0.000,0.000,0.000,1
686,0.000,0.000,0.000,0.000,0.000,1
687,0.000,0.000,0.000,0.000,0.000,1
688,0.000,0.000,0.000,0.000,0.000,1
689,0.000,0.000,0.000,0.000,0.000,1
690,0.000,0.000,0.000,0.000,0.000,1
691,0.000,0.000,0.000,0.000,0.000,1
692,0.000,0.000,0.000,0.000,0.000,1
693,0.000,0.000,0.000,0.000,0.000,1
694,0.000,0.000,0.000,0.000,0.000,1
695,0.000,0.000,0.000,0.000,0.000,1
696,0.000,0.000,0.000,0.000,0.000,1
697,0.000,0.000,0.000,0.000,0.000,1
698,0.000,0.000,0.000,0.000,0.000,1
699,0.000,0.000,0.000,0.000,0.000,1
700,0.000,0.000,0.000,0.000,0.000,1
701,0.000,0.000,0.000,0.000,0.000,1
702,0.000,0.000,0.000,0.000,0.000,1
703,0.000,0.000,0.000,0.000,0.000,1
704,0.000,0.000,0.000,0.000,0.000,1
705,0.000,0.000,0.000,0.000,0.000,1
706,0.000,0.000,0.000,0.000,0.000,1
707,0.000,0.000,0.000,0.000,0.000,1
708,0.000,0.000,0.000,0.000,0.000,1
709,0.000,0.000,0.000,0.000,0.000,1
710,0.000,0.000,0.000,0.000,0.000,1
711,0.000,0.000,0.000,0.000,0.000,1
712,0.000,0.000,0.000,0.000,0.000,1
713,0.000,0.000,0.000,0.000,0.000,1
714,0.000,0.000,0.000,0.000,0.000,1
715,0.000,0.000,0.000,0.000,0.000,1
716,0.000,0.000,0.000,0.000,0.000,1
717,0.000,0.000,0.000,0.000,0.000,1
718,0.000,0.000,0.000,0.000,0.000,1
719,0.000,0.000,0.000,0.000,0.000,1
720,0.000,0.000,0.000,0.000,0.000,1
721,0.000,0.000,0.000,0.000,0.000,1
722,0.000,0.000,0.000,0.000,0.000,1
723,0.000,0.000,0.000,0.000,0.000,1
724,0.000,0.000,0.000,0.000,0.000,1
725,0.000,0.000,0.000,0.000,0.000,1
726,0.000,0.000,0.000,0.000,0.000,1
727,0.000,0.000,0.000,0.000,0.000,1
728,0.000,0.000,0.000,0.000,0.000,1
729,0.000,0.000,0.000,0.000,0.000,1
730,0.000,0.000,0.000,0.000,0.000,1
731,0.000,0.000,0.000,0.000,0.000,1
732,0.000,0.000,0.000,0.000,0.000,1
733,0.000,0.000,0.000,0.000,0.000,1
734,0.000,0.000,0.000,0.000,0.000,1
735,0.000,0.000,0.000,0.000,0.000,1
736,0.000,0.000,0.000,0.000,0.000,1
737,0.000,0.000,0.000,0.000,0.000,1
738,0.000,0.000,0.000,0.000,0.000,1
739,0.000,0.000,0.000,0.000,0.000,1
740,0.000,0.000,0.000,0.000,0.000,1
741,0.000,0.000,0.000,0.000,0.000,1
742,0.000,0.000,0.000,0.000,0.000,1
743,0.000,0.000,0.000,0.000,0.000,1
744,0.000,0.000,0.000,0.000,0.000,1
745,0.000,0.000,0.000,0.000,0.000,1
746,0.000,0.000,0.000,0.000,0.000,1
747,0.000,0.000,0.000,0.000,0.000,1
748,0.000,0.000,0.000,0.000,0.000,1
749,0.000,0.000,0.000,0.000,0.000,1
750,0.000,0.000,0.000,0.000,0.000,1
751,0.000,0.000,0.000,0.000,0.000,1
752,0.000,0.000,0.000,0.000,0.000,1
753,0.000,0.000,0.000,0.000,0.000,1
754,0.000,0.000,0.000,0.000,0.000,1
755,0.000,0.000,0.000,0.000,0.000,1
756,0.000,0.000,0.000,0.000,0.000,1
757,0.000,0.000,0.000,0.000,0.000,1
758,0.000,0.000,0.000,0.000,0.000,1
759,0.000,0.000,0.000,0.000,0.000,1
760,0.000,0.000,0.000,0.000,0.000,1
761,0.000,0.000,0.000,0.000,0.000,1
762,0.000,0.000,0.000,0.000,0.000,1
763,0.000,0.000,0.000,0.000,0.000,1
764,0.000,0.000,0.000,0.000,0.000,1
765,0.000,0.000,0.000,0.000,0.000,1
766,0.000,0.000,0.000,0.000,0.000,1
767,0.000,0.000,0.000,0.000,0.000,1
768,0.000,0.000,0.000,0.000,0.000,1
769,0.000,0.000,0.000,0.000,0.000,1
770,0.000,0.000,0.000,0.000,0.000,1
771,0.000,0.000,0.000,0.000,0.000,1
772,0.000,0.000,0.000,0.000,0.000,1
773,0.000,0.000,0.000,0.000,0.000,1
774,0.000,0.000,0.000,0.000,0.000,1
775,0.000,0.000,0.000,0.000,0.000,1
776,0.000,0.000,0.000,0.000,0.000,1
777,0.000,0.000,0.000,0.000,0.000,1
778,0.000,0.000,0.000,0.000,0.000,1
779,0.000,0.000,0.000,0.000,0.000,1
780,0.000,0.000,0.000,0.000,0.000,1
781,0.000,0.000,0.000,0.000,0.000,1
782,0.000,0.000,0.000,0.000,0.000,1
783,0.000,0.000,0.000,0.000,0.000,1
784,0.000,0.000,0.000,0.000,0.000,1
785,0.000,0.000,0.000,0.000,0.000,1
786,0.000,0.000,0.000,0.000,0.000,1
787,0.000,0.000,0.000,0.000,0.000,1
788,0.000,0.000,0.000,0.000,0.000,1
789,0.000,0.000,0.000,0.000,0.000,1
790,0.000,0.000,0.000,0.000,0.000,1
791,0.000,0.000,0.000,0.000,0.000,1
792,0.000,0.000,0.000,0.000,0.000,1
793,0.000,0.000,0.000,0.000,0.000,1
794,0.000,0.000,0.000,0.000,0.000,1
795,0.000,0.000,0.000,0.000,0.000,1
796,0.000,0.000,0.000,0.000,0.000,1
797,0.000,0.000,0.000,0.000,0.000,1
798,0.000,0.000,0.000,0.000,0.000,1
799,0.000,0.000,0.000,0.000,0.000,1
800,0.000,0.000,0.000,0.000,0.000,1
801,0.000,0.000,0.000,0.000,0.000,1
802,0.000,0.000,0.000,0.000,0.000,1
803,0.000,0.000,0.000,0.000,0.000,1
804,0.000,0.000,0.000,0.000,0.000,1
805,0.000,0.000,0.000,0.000,0.000,1
806,0.000,0.000,0.000,0.000,0.000,1
807,0.000,0.000,0.000,0.000,0.000,1
808,0.000,0.000,0.000,0.000,0.000,1
809,0.000,0.000,0.000,0.000,0.000,1
810,0.000,0.000,0.000,0.000,0.000,1
811,0.000,0.000,0.000,0.000,0.000,1
812,0.000,0.000,0.000,0.000,0.000,1
813,0.000,0.000,0.000,0.000,0.000,1
814,0.000,0.000,0.000,0.000,0.000,1
815,0.000,0.000,0.000,0.000,0.000,1
816,0.000,0.000,0.000,0.000,0.000,1
817,0.000,0.000,0.000,0.000,0.000,1
818,0.000,0.000,0.000,0.000,0.000,1
819,0.000,0.000,0.000,0.000,0.000,1
820,0.000,0.000,0.000,0.000,0.000,1
821,0.000,0.000,0.000,0.000,0.000,1
822,0.000,0.000,0.000,0.000,0.000,1
823,0.000,0.000,0.000,0.000,0.000,1
824,0.000,0.000,0.000,0.000,0.000,1
825,0.000,0.000,0.000,0.000,0.000,1
826,0.000,0.000,0.000,0.000,0.000,1
827,0.000,0.000,0.000,0.000,0.000,1
828,0.000,0.000,0.000,0.000,0.000,1
829,0.000,0.000,0.000,0.000,0.000,1
830,0.000,0.000,0.000,0.000,0.000,1
831,0.000,0.000,0.000,0.000,0.000,1
832,0.000,0.000,0.000,0.000,0.000,1
833,0.000,0.000,0.000,0.000,0.000,1
834,0.000,0.000,0.000,0.000,0.000,1
835,0.000,0.000,0.000,0.000,0.000,1
836,0.000,0.000,0.000,0.000,0.000,1
837,0.000,0.000,0.000,0.000,0.000,1
838,0.000,0.000,0.000,0.000,0.000,1
839,0.000,0.000,0.000,0.000,0.000,1
840,0.000,0.000,0.000,0.000,0.000,1
841,0.000,0.000,0.000,0.000,0.000,1
842,0.000,0.000,0.000,0.000,0.000,1
843,0.000,0.000,0.000,0.000,0.000,1
844,0.000,0.000,0.000,0.000,0.000,1
845,0.000,0.000,0.000,0.000,0.000,1
846,0.000,0.000,0.000,0.000,0.000,1
847,0.000,0.000,0.000,0.000,0.000,1
848,0.000,0.000,0.000,0.000,0.000,1
849,0.000,0.000,0.000,0.000,0.000,1
850,0.000,0.000,0.000,0.000,0.000,1
851,0.000,0.000,0.000,0.000,0.000,1
852,0.000,0.000,0.000,0.000,0.000,1
853,0.000,0.000,0.000,0.000,0.000,1
854,0.000,0.000,0.000,0.000,0.000,1
855,0.000,0.000,0.000,0.000,0.000,1
856,0.000,0.000,0.000,0.000,0.000,1
857,0.000,0.000,0.000,0.000,0.000,1
858,0.000,0.000,0.000,0.000,0.000,1
859,0.000,0.000,0.000,0.000,0.000,1
860,0.000,0.000,0.000,0.000,0.000,1
861,0.000,0.000,0.000,0.000,0.000,1
862,0.000,0.000,0.000,0.000,0.000,1
863,0.000,0.000,0.000,0.000,0.000,1
864,0.000,0.000,0.000,0.000,0.000,1
865,0.000,0.000,0.000,0.000,0.000,1
866,0.000,0.000,0.000,0.000,0.000,1
867,0.000,0.000,0.000,0.000,0.000,1
868,0.000,0.000,0.000,0.000,0.000,1
869,0.000,0.000,0.000,0.000,0.000,1
870,0.000,0.000,0.000,0.000,0.000,1
871,0.000,0.000,0.000,0.000,0.000,1
872,0.000,0.000,0.000,0.000,0.000,1
873,0.000,0.000,0.000,0.000,0.000,1
874,0.000,0.000,0.000,0.000,0.000,1
875,0.000,0.000,0.000,0.000,0.000,1
876,0.000,0.000,0.000,0.000,0.000,1
877,0.000,0.000,0.000,0.000,0.000,1
878,0.000,0.000,0.000,0.000,0.000,1
879,0.000,0.000,0.000,0.000,0.000,1
880,0.000,0.000,0.000,0.000,0.000,1
881,0.000,0.000,0.000,0.000,0.000,1
882,0.000,0.000,0.000,0.000,0.000,1
883,0.000,0.000,0.000,0.000,0.000,1
884,0.000,0.000,0.000,0.000,0.000,1
885,0.000,0.000,0.000,0.000,0.000,1
886,0.000,0.000,0.000,0.000,0.000,1
887,0.000,0.000,0.000,0.000,0.000,1
888,0.000,0.000,0.000,0.000,0.000,1
889,0.000,0.000,0.000,0.000,0.000,1
890,0.000,0.000,0.000,0.000,0.000,1
891,0.000,0.000,0.000,0.000,0.000,1
892,0.000,0.000,0.000,0.000,0.000,1
893,0.000,0.000,0.000,0.000,0.000,1
894,0.000,0.000,0.000,0.000,0.000,1
895,0.000,0.000,0.000,0.000,0.000,1
896,0.000,0.000,0.000,0.000,0.000,1
897,0.000,0.000,0.000,0.000,0.000,1
898,0.000,0.000,0.000,0.000,0.000,1
899,0.000,0.000,0.000,0.000,0.000,1
900,0.000,0.000,0.000,0.000,0.000,1
901,0.000,0.000,0.000,0.000,0.000,1
902,0.000,0.000,0.000,0.000,0.000,1
903,0.000,0.000,0.000,0.000,0.000,1
904,0.000,0.000,0.000,0.000,0.000,1
905,0.000,0.000,0.000,0.000,0.000,1
906,0.000,0.000,0.000,0.000,0.000,1
907,0.000,0.000,0.000,0.000,0.000,1
908,0.000,0.000,0.000,0.000,0.000,1
909,0.000,0.000,0.000,0.000,0.000,1
910,0.000,0.000,0.000,0.000,0.000,1
911,0.000,0.000,0.000,0.000,0.000,1
912,0.000,0.000,0.000,0.000,0.000,1
913,0.000,0.000,0.000,0.000,0.000,1
914,0.000,0.000,0.000,0.000,0.000,1
915,0.000,0.000,0.000,0.000,0.000,1
916,0.000,0.000,0.000,0.000,0.000,1
917,0.000,0.000,0.000,0.000,0.000,1
918,0.000,0.000,0.000,0.000,0.000,1
919,0.000,0.000,0.000,0.000,0.000,1
920,0.000,0.000,0.000,0.000,0.000,1
921,0.000,0.000,0.000,0.000,0.000,1
922,0.000,0.000,0.000,0.000,0.000,1
923,0.000,0.000,0.000,0.000,0.000,1
924,0.000,0.000,0.000,0.000,0.000,1
925,0.000,0.000,0.000,0.000,0.000,1
926,0.000,0.000,0.000,0.000,0.000,1
927,0.000,0.000,0.000,0.000,0.000,1
928,0.000,0.000,0.000,0.000,0.000,1
929,0.000,0.000,0.000,0.000,0.000,1
930,0.000,0.000,0.000,0.000,0.000,1
931,0.000,0.000,0.000,0.000,0.000,1
932,0.000,0.000,0.000,0.000,0.000,1
933,0.000,0.000,0.000,0.000,0.000,1
934,0.000,0.000,0.000,0.000,0.000,1
935,0.000,0.000,0.000,0.000,0.000,1
936,0.000,0.000,0.000,0.000,0.000,1
937,0.000,0.000,0.000,0.000,0.000,1
938,0.000,0.000,0.000,0.000,0.000,1
939,0.000,0.000,0.000,0.000,0.000,1
940,0.000,0.000,0.000,0.000,0.000,1
941,0.000,0.000,0.000,0.000,0.000,1
942,0.000,0.000,0.000,0.000,0.000,1
943,0.000,0.000,0.000,0.000,0.000,1
944,0.000,0.000,0.000,0.000,0.000,1
945,0.000,0.000,0.000,0.000,0.000,1
946,0.000,0.000,0.000,0.000,0.000,1
947,0.000,0.000,0.000,0.000,0.000,1
948,0.000,0.000,0.000,0.000,0.000,1
949,0.000,0.000,0.000,0.000,0.000,1
950,0.000,0.000,0.000,0.000,0.000,1
951,0.000,0.000,0.000,0.000,0.000,1
952,0.000,0.000,0.000,0.000,0.000,1
953,0.000,0.000,0.000,0.000,0.000,1
954,0.000,0.000,0.000,0.000,0.000,1
955,0.000,0.000,0.000,0.000,0.000,1
956,0.000,0.000,0.000,0.000,0.000,1
957,0.000,0.000,0.000,0.000,0.000,1
958,0.000,0.000,0.000,0.000,0.000,1
959,0.000,0.000,0.000,0.000,0.000,1
960,0.000,0.000,0.000,0.000,0.000,1
961,0.000,0.000,0.000,0.000,0.000,1
962,0.000,0.000,0.000,0.000,0.000,1
963,0.000,0.000,0.000,0.000,0.000,1
964,0.000,0.000,0.000,0.000,0.000,1
965,0.000,0.000,0.000,0.000,0.000,1
966,0.000,0.000,0.000,0.000,0.000,1
967,0.000,0.000,0.000,0.000,0.000,1
968,0.000,0.000,0.000,0.000,0.000,1
969,0.000,0.000,0.000,0.000,0.000,1
970,0.000,0.000,0.000,0.000,0.000,1
971,0.000,0.000,0.000,0.000,0.000,1
972,0.000,0.000,0.000,0.000,0.000,1
973,0.000,0.000,0.000,0.000,0.000,1
974,0.000,0.000,0.000,0.000,0.000,1
975,0.000,0.000,0.000,0.000,0.000,1
976,0.000,0.000,0.000,0.000,0.000,1
977,0.000,0.000,0.000,0.000,0.000,1
978,0.000,0.000,0.000,0.000,0.000,1
979,0.000,0.000,0.000,0.000,0.000,1
980,0.000,0.000,0.000,0.000,0.000,1
981,0.000,0.000,0.000,0.000,0.000,1
982,0.000,0.000,0.000,0.000,0.000,1
983,0.000,0.000,0.000,0.000,0.000,1
984,0.000,0.000,0.000,0.000,0.000,1
985,0.000,0.000,0.000,0.000,0.000,1
986,0.000,0.000,0.000,0.000,0.000,1
987,0.000,0.000,0.000,0.000,0.000,1
988,0.000,0.000,0.000,0.000,0.000,1
989,0.000,0.000,0.000,0.000,0.000,1
990,0.000,0.000,0.000,0.000,0.000,1
991,0.000,0.000,0.000,0.000,0.000,1
992,0.000,0.000,0.000,0.000,0.000,1
993,0.000,0.000,0.000,0.000,0.000,1
994,0.000,0.000,0.000,0.000,0.000,1
995,0.000,0.000,0.000,0.000,0.000,1
996,0.000,0.000,0.000,0.000,0.000,1
997,0.000,0.000,0.000,0.000,0.000,1
998,0.000,0.000,0.000,0.000,0.000,1
999,0.000,0.000,0.000,0.000,0.000,1
1000,0.000,0.000,0.000,0.000,0.000,1
1001,0.000,0.000,0.000,0.000,0.000,1
1002,0.000,0.000,0.000,0.000,0.000,1
1003,0.000,0.000,0.000,0.000,0.000,1
1004,0.000,0.000,0.000,0.000,0.000,1
1005,0.000,0.000,0.000,0.000,0.000,1
1006,0.000,0.000,0.000,0.000,0.000,1
1007,0.000,0.000,0.000,0.000,0.000,1
1008,0.000,0.000,0.000,0.000,0.000,1
1009,0.000,0.000,0.000,0.000,0.000,1
1010,0.000,0.000,0.000,0.000,0.000,1
1011,0.000,0.000,0.000,0.000,0.000,1
1012,0.000,0.000,0.000,0.000,0.000,1
1013,0.000,0.000,0.000,0.000,0.000,1
1014,0.000,0.000,0.000,0.000,0.000,1
1015,0.000,0.000,0.000,0.000,0.000,1
1016,0.000,0.000,0.000,0.000,0.000,1
1017,0.000,0.000,0.000,0.000,0.000,1
1018,0.000,0.000,0.000,0.000,0.000,1
1019,0.000,0.000,0.000,0.000,0.000,1
1020,0.000,0.000,0.000,0.000,0.000,1
1021,0.000,0.000,0.000,0.000,0.000,1
1022,0.000,0.000,0.000,0.000,0.000,1
1023,0.000,0.000,0.000,0.000,0.000,1
1024,0.000,0.000,0.000,0.000,0.000,1
1025,0.000,0.000,0.000,0.000,0.000,1
1026,0.000,0.000,0.000,0.000,0.000,1
1027,0.000,0.000,0.000,0.000,0.000,1
1028,0.000,0.000,0.000,0.000,0.000,1
1029,0.000,0.000,0.000,0.000,0.000,1
1030,0.000,0.000,0.000,0.000,0.000,1
1031,0.000,0.000,0.000,0.000,0.000,1
1032,0.000,0.000,0.000,0.000,0.000,1
1033,0.000,0.000,0.000,0.000,0.000,1
1034,0.000,0.000,0.000,0.000,0.000,1
1035,0.000,0.000,0.000,0.000,0.000,1
1036,0.000,0.000,0.000,0.000,0.000,1
1037,0.000,0.000,0.000,0.000,0.000,1
1038,0.000,0.000,0.000,0.000,0.000,1
1039,0.000,0.000,0.000,0.000,0.000,1
1040,0.000,0.000,0.000,0.000,0.000,1
1041,0.000,0.000,0.000,0.000,0.000,1
1042,0.000,0.000,0.000,0.000,0.000,1
1043,0.000,0.000,0.000,0.000,0.000,1
1044,0.000,0.000,0.000,0.000,0.000,1
1045,0.000,0.000,0.000,0.000,0.000,1
1046,0.000,0.000,0.000,0.000,0.000,1
1047,0.000,0.000,0.000,0.000,0.000,1
1048,0.000,0.000,0.000,0.000,0.000,1
1049,0.000,0.000,0.000,0.000,0.000,1
1050,0.000,0.000,0.000,0.000,0.000,1
1051,0.000,0.000,0.000,0.000,0.000,1
1052,0.000,0.000,0.000,0.000,0.000,1
1053,0.000,0.000,0.000,0.000,0.000,1
1054,0.000,0.000,0.000,0.000,0.000,1
1055,0.000,0.000,0.000,0.000,0.000,1
1056,0.000,0.000,0.000,0.000,0.000,1
1057,0.000,0.000,0.000,0.000,0.000,1
1058,0.000,0.000,0.000,0.000,0.000,1
1059,0.000,0.000,0.000,0.000,0.000,1
1060,0.000,0.000,0.000,0.000,0.000,1
1061,0.000,0.000,0.000,0.000,0.000,1
1062,0.000,0.000,0.000,0.000,0.000,1
1063,0.000,0.000,0.000,0.000,0.000,1
1064,0.000,0.000,0.000,0.000,0.000,1
1065,0.000,0.000,0.000,0.000,0.000,1
1066,0.000,0.000,0.000,0.000,0.000,1
1067,0.000,0.000,0.000,0.000,0.000,1
1068,0.000,0.000,0.000,0.000,0.000,1
1069,0.000,0.000,0.000,0.000,0.000,1
1070,0.000,0.000,0.000,0.000,0.000,1
1071,0.000,0.000,0.000,0.000,0.000,1
1072,0.000,0.000,0.000,0.000,0.000,1
1073,0.000,0.000,0.000,0.000,0.000,1
1074,0.000,0.000,0.000,0.000,0.000,1
1075,0.000,0.000,0.000,0.000,0.000,1
1076,0.000,0.000,0.000,0.000,0.000,1
1077,0.000,0.000,0.000,0.000,0.000,1
1078,0.000,0.000,0.000,0.000,0.000,1
1079,0.000,0.000,0.000,0.000,0.000,1
1080,0.000,0.000,0.000,0.000,0.000,1
1081,0.000,0.000,0.000,0.000,0.000,1
1082,0.000,0.000,0.000,0.000,0.000,1
1083,0.000,0.000,0.000,0.000,0.000,1
1084,0.000,0.000,0.000,0.000,0.000,1
1085,0.000,0.000,0.000,0.000,0.000,1
1086,0.000,0.000,0.000,0.000,0.000,1
1087,0.000,0.000,0.000,0.000,0.000,1
1088,0.000,0.000,0.000,0.000,0.000,1
1089,0.000,0.000,0.000,0.000,0.000,1
1090,0.000,0.000,0.000,0.000,0.000,1
1091,0.000,0.000,0.000,0.000,0.000,1
1092,0.000,0.000,0.000,0.000,0.000,1
1093,0.000,0.000,0.000,0.000,0.000,1
1094,0.000,0.000,0.000,0.000,0.000,1
1095,0.000,0.000,0.000,0.000,0.000,1
1096,0.000,0.000,0.000,0.000,0.000,1
1097,0.000,0.000,0.000,0.000,0.000,1
1098,0.000,0.000,0.000,0.000,0.000,1
1099,0.000,0.000,0.000,0.000,0.000,1
1100,0.000,0.000,0.000,0.000,0.000,1
1101,0.000,0.000,0.000,0.000,0.000,1
1102,0.000,0.000,0.000,0.000,0.000,1
1103,0.000,0.000,0.000,0.000,0.000,1
1104,0.000,0.000,0.000,0.000,0.000,1
1105,0.000,0.000,0.000,0.000,0.000,1
1106,0.000,0.000,0.000,0.000,0.000,1
1107,0.000,0.000,0.000,0.000,0.000,1
1108,0.000,0.000,0.000,0.000,0.000,1
1109,0.000,0.000,0.000,0.000,0.000,1
1110,0.000,0.000,0.000,0.000,0.000,1
1111,0.000,0.000,0.000,0.000,0.000,1
1112,0.000,0.000,0.000,0.000,0.000,1
1113,0.000,0.000,0.000,0.000,0.000,1
1114,0.000,0.000,0.000,0.000,0.000,1
1115,0.000,0.000,0.000,0.000,0.000,1
1116,0.000,0.000,0.000,0.000,0.000,1
1117,0.000,0.000,0.000,0.000,0.000,1
1118,0.000,0.000,0.000,0.000,0.000,1
1119,0.000,0.000,0.000,0.000,0.000,1
1120,0.000,0.000,0.000,0.000,0.000,1
1121,0.000,0.000,0.000,0.000,0.000,1
1122,0.000,0.000,0.000,0.000,0.000,1
1123,0.000,0.000,0.000,0.000,0.000,1
1124,0.000,0.000,0.000,0.000,0.000,1
1125,0.000,0.000,0.000,0.000,0.000,1
1126,0.000,0.000,0.000,0.000,0.000,1
1127,0.000,0.000,0.000,0.000,0.000,1
1128,0.000,0.000,0.000,0.000,0.000,1
1129,0.000,0.000,0.000,0.000,0.000,1
1130,0.000,0.000,0.000,0.000,0.000,1
1131,0.000,0.000,0.000,0.000,0.000,1
1132,0.000,0.000,0.000,0.000,0.000,1
1133,0.000,0.000,0.000,0.000,0.000,1
1134,0.000,0.000,0.000,0.000,0.000,1
1135,0.000,0.000,0.000,0.000,0.000,1
1136,0.000,0.000,0.000,0.000,0.000,1
1137,0.000,0.000,0.000,0.000,0.000,1
1138,0.000,0.000,0.000,0.000,0.000,1
1139,0.000,0.000,0.000,0.000,0.000,1
1140,0.000,0.000,0.000,0.000,0.000,1
1141,0.000,0.000,0.000,0.000,0.000,1
1142,0.000,0.000,0.000,0.000,0.000,1
1143,0.000,0.000,0.000,0.000,0.000,1
1144,0.000,0.000,0.000,0.000,0.000,1
1145,0.000,0.000,0.000,0.000,0.000,1
1146,0.000,0.000,0.000,0.000,0.000,1
1147,0.000,0.000,0.000,0.000,0.000,1
1148,0.000,0.000,0.000,0.000,0.000,1
1149,0.000,0.000,0.000,0.000,0.000,1
1150,0.000,0.000,0.000,0.000,0.000,1
1151,0.000,0.000,0.000,0.000,0.000,1
1152,0.000,0.000,0.000,0.000,0.000,1
1153,0.000,0.000,0.000,0.000,0.000,1
